owner,amount
0xB7e4a920a3fBD150D250a4ec0bBadF7acB904304,203023120000000000000000
0x0c87Bb66BaC9824fC67332d28eB4aAC4fC3e1362,203023120000000000000000
0x42405d66fdA09dbDaC90Ff25fC5a4C2353f43E70,203023120000000000000000
