owner,amount,duration,startDate,initialUnlock,requiresSPT
0xC77624e672E762907435725Bbd3dFe70DDD40D13,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xC44f82b07Ab3E691F826951a6E335E1bC1bB0B51,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xd5863005cfFE4D40a27506781ed1DE9D5e37d5EF,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xf26d1Bb347a59F6C283C53156519cC1B1ABacA51,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xA800160ce193e6e171dFBC7bADe7ec307e1d119A,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xc41a7269cabBbd01372fB3282526125B83415400,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xbAeD5A2E8a9c3f2DaA7332a90FEa69F775Ba9C80,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xAAb2C54130A07B1033711Fc5962074a08549E957,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x291d3813D975317B4375E050217c5335Ab28e87f,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x2DddABc5B716795248cDcD05D347a0c66719B11D,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x9361Ae762b3B0474602B653Be6FDe75A33D58B32,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xDD30c534ab8E95D92dBF2ED1e798C16AD46f965b,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x840211d78A685af748c5b7C9A82ddF995cc2d04C,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xa5D55281917936818665c6cB87959b6a147D9306,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xd8C81D0706a027B870c20cC386BBffb15A36815e,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x766EeC18165bf03025EeB208281375F7f071C428,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xD18e205b41eEe3D208D3B10445DB95Ff02ba4acA,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x135f11a35B740779De673b24545134890f906689,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xE4762eAcEbDb7585D32079fdcbA5Bb94eb5d76F2,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xFd0Bd19e849493F77D8f77eD026520C1368102Bd,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x22f5413C075Ccd56D575A54763831C4c27A37Bdb,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x6a74a6569e3aCA74fff5b6E9ce372EbAc273329E,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x19a611681226c161FA7D91cE57d83Edc4b5Cb39f,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xaC1A5f1c12eD3F89E949e2FfEB438C3656666666,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x90A48D5CF7343B08dA12E067680B4C6dbfE551Be,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x3901D0fDe202aF1427216b79f5243f8A022d68cf,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xbf41c77275bB5E8DA7F08AE8924494f849d06f33,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xce4a1E86a5c47CD677338f53DA22A91d85cab2c9,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0xb3541aa3247304DCCe993b9b8Bd1Ee3C7Dc49367,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x4ec5565C8608a3Ac59857E2F8cEf0f675E75FA8c,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x6e71970ecc062888a05Da630c6055200B1c0c043,78125.000000000000000000,24,2024-04-02,0.10,FALSE
0x8A709cB2f722512833313b393aDbe27a968dd914,78125.000000000000000000,24,2024-04-02,0.10,FALSE
