owner,amount,duration,startDate,initialUnlock,requiresSPT
0x0e79065b5f11b5bd1e62b935a600976fff3754b9,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x4629f9da2156cd02d5f4b1d327139e241b279061,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x102208793a9ca523dbc01614fd90f3fc882bb562,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xbae2ca85f533f2faf3cd018057cd64c42a2fc669,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x5a0c6a9bf4ec7417e914c13c1d7bd51af9507309,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x364bb62cf4dcc7e43b4be9a4a7eb8a660ad9c4ce,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x8f31921c5bca85d70d8079f82e7dee82c82dc4fd,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x04e298d28c5d1137806429c0f410e2dc9392c802,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xe68d4398042d5b509e9a133489a4ee66a59daaa6,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x6169e6b12b8bb19ad6880db2cee7b7f99fbf5fa2,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xd0e073e5edd2df5e46e3c515de64904601112b74,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xb8824435a0355efcff385e194abd8f402477d13c,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x1c124c86f7fc22e67974337e889a513b16a5703f,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xb2620d914b058be50791fa00a188d1b700780c8a,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0xc82afa096710862ef520afa9258ed58089c74630,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x00c2e3f1024b37e87e5963a126180a77a484e23d,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x1a8c539614657639eb3b3ef4a4e60e2b48ecb857,1000.000000000000000000,24,2024-04-02,0.20,FALSE
0x6652e2ec55862e6826d841b4395ee184d6c3f153,1000.000000000000000000,24,2024-04-02,0.20,FALSE
