owner,amount,duration,startDate,initialUnlock,requiresSPT
0xb75E2fB01521Bd7b6369F831414840A54a3C7234,150000000.000000000000000000,24,2024-03-18,0.10,TRUE
0x97b5bCfeA315D68f8007cA93bf6020a78dd26D49,5714285.714285720000000000,22,2024-03-18,0.10,TRUE
0x35a214b13c9E223B8D511f343aC8Fa94293233a1,2142857.142857140000000000,22,2024-03-18,0.10,TRUE
0xf8f09be6dabffaa3c02b2d653d9026cc7767ed99,2857142.857142860000000000,23,2024-03-18,0.10,TRUE
0xabbf48d5c158fa48fbb5d85c9909c26ae6345f63,14285714.285714300000000000,23,2024-03-18,0.10,TRUE
0xe5aca0d5ab5788c38cd73867b2146e30cd54ed30,1428571.428571430000000000,24,2024-03-18,0.10,TRUE
0xF7179D3371cFc2A6cfaA253B5F636a90706fE961,10000000.000000000000000000,24,2024-03-18,0.10,TRUE
0x18059173dD608F3eeF0F85A6A510d536edb335B2,4571428.571428570000000000,24,2024-03-18,0.10,TRUE
0x78DB576873F032A7C4749b214A8AF6966B3Be239,5714285.714285720000000000,25,2024-03-18,0.10,TRUE
0x22DfDaA6F79079B83f9fa4e3d88a410Cc1Da4d84,14285714.285714300000000000,25,2024-03-18,0.10,TRUE
0xeD0633c7D82A716f7736Eb8c9d60A74fa62e2316,1428571.428571430000000000,23,2024-03-18,0.10,TRUE
0x44acd0ff3be9fdfb932453c82b5df5739d28b276,248571.428571429000000000,22,2024-03-18,0.10,TRUE
0x3af30125B7A81C23bd3608645c354CD02223224D,24857.142857142900000000,22,2024-03-18,0.10,TRUE
0x579De8E7dA10b45b43a24aC21dA8b1a3a9452D64,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x9588b5E1894F6Ca3380d9022E3EB06Ad806e4f14,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x77C58F716FD0d10727883a41A29FCC9f131B7B0A,24857.142857142900000000,22,2024-03-18,0.10,TRUE
0xFCbaB751D87B76B1F5737276C7BcD669f63eaE76,19885.714285714300000000,22,2024-03-18,0.10,TRUE
0xa24E91f2684A69ffE0A10A5cc384F9e0B163DD8b,52200.000000000000000000,22,2024-03-18,0.10,TRUE
0x4cd6B970F42B41Ee58c2e4B7aB99863d5AE52A23,124285.714285714000000000,22,2024-03-18,0.10,TRUE
0x48be2B463868B712a0c9CdbE8cD351D9268862a4,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x9FcDC049601f9dff3bc74b783aF0F26E15F5C6F4,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0xAa92521387Df9cf483F0C3e0e6f5424e9998316f,99428.571428571400000000,22,2024-03-18,0.10,TRUE
0x8A39A12979aAF85582Be10464Ea36Cf44cF5A4a1,124285.714285714000000000,22,2024-03-18,0.10,TRUE
0x1cddd26b7f9372dd54f5e38955d2623b4bd4a349,14914.285714285700000000,22,2024-03-18,0.10,TRUE
0x7C24d0E9D2A5E3F122b3321051d71E710c23B84a,14914.285714285700000000,22,2024-03-18,0.10,TRUE
0x1e5d13496de4A81225454aFc9d0fa06F6BD97421,17400.000000000000000000,22,2024-03-18,0.10,TRUE
0x5BE2539BaA7622865FDc401bA26adB636d78f5Bf,19885.714285714300000000,22,2024-03-18,0.10,TRUE
0x1423FCc74DA82Fa03D70fa1F7A122Db1Ba231783,11900.000000000000000000,22,2024-03-18,0.10,TRUE
0x56E773B0a620205E9f72265b6013b65B84c2c4aF,24857.142857142900000000,22,2024-03-18,0.10,TRUE
0x9F222c4533507c1a5E986F03F6fA3d5321f04B08,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x889FA29F35E55324efD313A38C57409845e47134,29828.571428571400000000,22,2024-03-18,0.10,TRUE
0x8bDfDFCf30D3d37f480966799Ea9646c44F721A6,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x0b4eCF28692614C10Deb7d8579F4878Be3Fd2DE9,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x1FD45Ae117A366D784d3d2d4CCd3196E2819CA83,14914.285714285700000000,22,2024-03-18,0.10,TRUE
0x92Faf283Ff5Bca05673411091D922a054A959900,74571.428571428600000000,22,2024-03-18,0.10,TRUE
0xabCa2289F0d03773e8b102248997e854aa36CD21,248571.428571429000000000,22,2024-03-18,0.10,TRUE
0xAC725C423CFddCd4057D4a63994b10C88e34cE01,14914.285714285700000000,22,2024-03-18,0.10,TRUE
0xb7Be3631d8de49e12dEdaA26bF8a05DAf54297A6,72085.714285714300000000,22,2024-03-18,0.10,TRUE
0xc2d14C396822bA325Aa8C8D0f6213828Cb69d925,44742.857142857100000000,22,2024-03-18,0.10,TRUE
0x6a9710AA33b0753b0174eCdCb126f8437a6B883e,24857.142857142900000000,22,2024-03-18,0.10,TRUE
0x00290ffc9e9D19bdA7b25c6e44d8ADF55DFBf2dD,1864285.714285710000000000,22,2024-03-18,0.10,TRUE
0xb8688028c54EFe7D6e27405616526B23C7Ae6948,121800.000000000000000000,22,2024-03-18,0.10,TRUE
0x8257e8D24F1960dE1Ce366f7704C930CcaC09716,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x111B46246ba9bf46Ef15dca39ab7775897271951,12428.571428571400000000,22,2024-03-18,0.10,TRUE
0x3446Ca61ceb2C75FaB87261402255B7190A62312,821224.285714285000000000,22,2024-03-18,0.10,TRUE
0x34eEbc51187Ba6d556f2e5a939C294c0DA3a358f,91247.142857142800000000,22,2024-03-18,0.10,TRUE
0x4df59c31a3008509B3C1FeE7A808C9a28F701719,1357142.857142860000000000,22,2024-03-18,0.10,TRUE
