owner,amount,duration,startDate,initialUnlock,requiresSPT
0x28B2CE9B54232720E53bcaf4784044E3e4700356,14235478.540863400000000000,24,2024-03-18,0.10,FALSE
0xd376e27E283Db82A7aa260d9E67B82e05BA0B52a,11523958.818794200000000000,24,2024-03-18,0.10,FALSE
0xad95859a35A566a4aFA61f25c9b0Ce7a1c19d3B6,14235478.540863400000000000,24,2024-03-18,0.10,FALSE
0x8C0c08c296AdFAf9381f87618d2F9Fbd0dE56680,3101300.682116680000000000,24,2024-03-18,0.10,FALSE
0x1592FD9E23D80AA1Cea69e65118e5932F84Dd02F,4346905.054442230000000000,24,2024-03-18,0.10,FALSE
0xb6D328cA2676a3a2d966aBb2366f5C5b09020cE1,1842986.061093930000000000,24,2024-03-18,0.10,FALSE
0xDaAB15Ac1CdB4aE8aBC260b869DDc54BE0ff9517,10041096.470787600000000000,24,2024-03-18,0.10,FALSE
0xFCB56FB0377C862C255708e3341C7324038c8503,4893445.748421810000000000,24,2024-03-18,0.10,FALSE
0x8aCd8d04980b30094b05b8583cADf1FcdF70bD54,4893445.748421810000000000,24,2024-03-18,0.10,FALSE
0x9287BEA10C1B0d840499f470fbc30c422b1844A6,6418675.592085750000000000,24,2024-03-18,0.10,FALSE
0x0e8Fbbe0D8872A63037441B1C55eD28d3f4b43Bc,1271024.869719950000000000,24,2024-03-18,0.10,FALSE
0x4c5Af8471D898DDdde5Fec3BC5cc0fBa13BE01b4,8261661.653179680000000000,24,2024-03-18,0.10,FALSE
0xeE65870FABf9E61Ce681655982dA93A1D78Ee285,635512.434859975000000000,24,2024-03-18,0.10,FALSE
0xFE1BD6b67f2018bBaF389e613a3a1b0ffF8C8380,826166.165317968000000000,24,2024-03-18,0.10,FALSE
0xe0ebeDea0991EFc546F6a9D65a4fff883AeA8EB0,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x2fAb8A8Eb6fF05A9DdB14042b55A7DC92ca84701,1737067.321950600000000000,24,2024-03-18,0.10,FALSE
0x332798A001D3ee345fcEb9b5EAdFe32bb408D1ff,635512.434859975000000000,24,2024-03-18,0.10,FALSE
0xC4Cc6ea780E0bBE740C1A0AfAc84C20a31AeAaeb,6355124.348599750000000000,24,2024-03-18,0.10,FALSE
0xB7D082a776Ad01d799eFCcf28b19bC4A2Ae99172,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x1f2AA59CF51715669bF2CB5ad3e91B5f3d0aACC8,466042.452230648000000000,24,2024-03-18,0.10,FALSE
0xAb864a41Cfc7562a4c27ee527a97791845aF9B3b,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0xf60ac7A146e6b86468125563B7220D11D46a61B1,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x90AaA6B8c74c770eA8aF4c767c608Ac5Fe2d9B19,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x5Ef1C89ba64b5d1fd9b9385eFfe344A53406d4EA,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0xA6CeAea1407935fF9a51a0431f942ECB005FB115,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x733ED4164e24142D2C02C4d9165C6db4C14DFD4a,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x9f5f83e27B542814325C6a0BAd269454Bd36de7e,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x0226648659A42b7fDA61A7aeAb4844DbDdD0B633,1334576.113205950000000000,24,2024-03-18,0.10,FALSE
0x0Dca0FDC170baA4CA9c1dCd37Ffe01f97bCfD504,211837.478286658000000000,24,2024-03-18,0.10,FALSE
0x7Ee72cD89DFEb6Fa1897549E4Ab583b4b33340Ab,826166.165317968000000000,24,2024-03-18,0.10,FALSE
0x97b102e00d88f02debfd6b1e4b901dd6931bb982,77071.290944123300000000,24,2024-03-28,0.10,FALSE
0x2275e8ac1b2e5b89e1c5c9fa8b65077fc71ebfa6,308285.163776493000000000,24,2024-03-28,0.10,FALSE
0xf3ce1887178d73aa90c98bc6be36bdc195ccb48d,77071.290944123300000000,24,2024-03-28,0.10,FALSE
0xA7E6F51aF4fbD7d1F4d95764bBC965CeC4AD5b91,308285.163776493000000000,24,2024-03-28,0.10,FALSE
0x9597Be183Ea077c7124EC8f2FB71E00fd6FA3a61,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0xeb69059c7078d16762D8B353CF486371F3ddBA1e,77071.290944123300000000,24,2024-03-28,0.10,FALSE
0x00063dDB30be7Bc2292583D5f143E9d6E6228440,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0x12e8123822485229EfaA08Cd244e27E533eb1F4B,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x9dE8dea3B03620c3553fb8538d5d232D1d5b0446,77071.290944123300000000,24,2024-03-28,0.10,FALSE
0xaD8Cd972310C58B5d2E50cFB2f84a21De41e4c6C,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x789e3B871696E5E6f122C74da94A6397D27296e2,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x6CF807bb1dEE8E2D4C55E8Cf6C875544edB2fCFe,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x91bea7215e4c21b71efe9aa1143d8acabfb47beb,1849710.982658960000000000,24,2024-03-28,0.10,FALSE
0xB79A2a74042933f5Ee525bCA80c23E2348926e90,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0xe1b67dE44a55De7f4EE07680199559c1eA7ab748,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x37F1fE0C626Ab737db7B816bBA4Be91C838f88c2,308285.163776493000000000,24,2024-03-28,0.10,FALSE
0xf26d75b2Fc048F1F6C793aE9F939Fa0946a0E104,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xaD8Cd972310C58B5d2E50cFB2f84a21De41e4c6C,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x2B888954421b424C5D3D9Ce9bB67c9bD47537d12,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0x12ee26aD74d50a1f6BDD90811387d1e0f3e7C76A,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xaEa38B52D0BA2a6C031c40D11d80b42f31CC3499,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xe64113140960528f6AF928d7cA4f45d192286a7a,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x543dA850A9DFB64BaD9aF1c0297f2051B65f3fF0,77071.290944123300000000,24,2024-03-28,0.10,FALSE
0xa1848ED344Fd767b28A1eCB5bD272eEc039667ab,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0x4cf84C152E5444b6a395D2F7A5DE86AAD7517531,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x7061E09D513e69636d16E1786c8c570c4de9191C,308285.163776493000000000,24,2024-03-28,0.10,FALSE
0xE90A96dB5acff61E22d5322cd3c34e5b2AcEeb79,616570.327552987000000000,24,2024-03-28,0.10,FALSE
0x85670c918fd6A80bdc92202C59D20b6E0c01C7E9,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x20E3F39De6Bb0153121e802A88b81c3FaC294be5,616570.327552987000000000,24,2024-03-28,0.10,FALSE
0x8f7a2AbbC8741572427e3426538cD516A41102f3,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xB98d45F9021D71E6Fc30b43FD37FB3b1Bf12c064,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xcA771eda0c70aA7d053aB1B25004559B918FE662,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0x401ab868cdA008ED47bc5D5809100fe95a07e26C,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0xFd06184e8d20d45bB3030472E2aeA6F255a2cBC7,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x722818c1B692B82BBf5B16342EbEd6C80c6E4869,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0x3E87e5BCE4dEb09FeE5045EF15E18f873212E6A7,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0x237DeE529A47750bEcdFa8A59a1D766e3e7B5F91,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0x07d587497477F4ED326C02810670Ad45e8A9916F,1541425.818882470000000000,24,2024-03-28,0.10,FALSE
0x87cc0d34f6111c8A7A4Bdf758a9a715A3675f941,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0x576F1E53afe5e99b2257258C7E3248d3a1822548,924855.491329480000000000,24,2024-03-28,0.10,FALSE
0xF23fd62E9566262a009851D0C0E70B3280e2EAd7,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0xC55506cCDB7c559596e49a121168c1126Dfb7494,1233140.655105970000000000,24,2024-03-28,0.10,FALSE
0x8cC1E2Afb5fa2714CaBf59A54B6F983421d8F82B,154142.581888247000000000,24,2024-03-28,0.10,FALSE
